0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=34&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=8&fileName=main1.jpg HTTP/1.1" 200 34273
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=7&fileName=main1.jpg HTTP/1.1" 200 16054
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/goods/goodsListByCategory.do HTTP/1.1" 200 39720
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=40&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=22&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=29&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=39&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=34&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=16&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=3&fileName=main1.jpg HTTP/1.1" 200 45079
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=21&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=5&fileName=main1.jpg HTTP/1.1" 200 23417
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=28&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=13&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=33&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=8&fileName=main1.jpg HTTP/1.1" 200 34273
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:21 +0900] "GET /AA/thumbnails.do?goods_num=15&fileName=main1.jpg HTTP/1.1" 200 8192
